file_path,modifications,total_churn,total_added,total_deleted,unique_commits,first_seen,last_seen,lifespan_years,churn_density
numpy\f2py\tests\test_assumed_shape.py,12,113,74,39,12,2011-02-25 20:34:48+00:00,2017-08-06 15:33:40+00:00,6.4,17.7
numpy\core\tests\test_gufuncs_linalg.py,12,824,662,162,12,2012-11-09 14:19:15+00:00,2013-04-08 20:19:05+00:00,0.4,1648.0
numpy\f2py\tests\test_return_character.py,12,291,219,72,12,2010-03-06 19:10:14+00:00,2017-08-06 15:33:40+00:00,7.4,39.3
numpy\f2py\tests\test_return_real.py,12,354,280,74,12,2010-03-06 19:10:14+00:00,2017-08-06 15:33:40+00:00,7.4,47.8
weave\tests\test_standard_array_spec.py,12,183,89,94,12,2002-01-03 19:50:46+00:00,2005-09-08 13:25:08+00:00,3.7,49.5
scipy\base\src\_compiled_base.c,12,599,526,73,12,2005-09-14 22:45:14+00:00,2006-01-03 09:55:18+00:00,0.3,1198.0
scipy_distutils\command\cpuinfo.py,12,1558,779,779,12,2002-01-01 09:21:09+00:00,2004-02-01 22:07:53+00:00,2.1,741.9
weave\tests\test_size_check.py,12,1042,520,522,12,2002-01-03 19:50:46+00:00,2005-09-08 13:25:08+00:00,3.7,281.6
numpy\distutils\fcompiler\nag.py,12,81,22,59,12,2006-01-04 19:00:27+00:00,2013-08-18 17:51:25+00:00,7.6,10.7
numpy\distutils\setup.py,12,53,13,40,12,2006-01-04 19:00:27+00:00,2016-01-06 19:33:18+00:00,10.0,5.3
scipy_base\scimath.py,12,337,164,173,12,2002-03-30 00:02:58+00:00,2005-05-09 19:12:53+00:00,3.1,108.7
numpy\distutils\command\build_py.py,12,63,29,34,12,2006-01-24 18:29:48+00:00,2013-08-18 17:51:25+00:00,7.6,8.3
numpy\distutils\fcompiler\g95.py,12,90,25,65,12,2006-01-04 19:00:27+00:00,2013-08-18 17:51:25+00:00,7.6,11.8
numpy\distutils\fcompiler\hpux.py,12,86,25,61,12,2006-01-04 19:00:27+00:00,2013-08-18 17:51:25+00:00,7.6,11.3
numpy\numarray\alter_code2.py,12,257,26,231,12,2006-08-05 20:36:39+00:00,2013-08-19 00:40:28+00:00,7.0,36.7
numpy\distutils\tests\pyrex_ext\tests\test_primes.py,12,67,27,40,12,2006-02-06 10:29:49+00:00,2016-01-06 19:31:02+00:00,9.9,6.8
numpy\fft\info.py,12,299,214,85,12,2006-09-28 10:06:08+00:00,2015-08-07 01:24:47+00:00,8.9,33.6
numpy\f2py\lib\readfortran.py,12,1910,955,955,12,2006-05-24 07:39:50+00:00,2006-07-06 16:57:20+00:00,0.1,3820.0
numpy\f2py\tests\test_size.py,12,125,89,36,12,2011-03-13 10:54:53+00:00,2017-08-29 06:57:37+00:00,6.5,19.2
numpy\f2py\tests\test_return_logical.py,12,405,297,108,12,2010-03-06 19:10:14+00:00,2017-08-06 15:33:40+00:00,7.4,54.7
numpy\f2py\tests\test_mixed.py,12,80,60,20,12,2010-03-06 19:10:14+00:00,2017-08-06 15:33:40+00:00,7.4,10.8
numpy\f2py\lib\parser\block_statements.py,12,2772,199,2573,12,2006-10-01 11:49:23+00:00,2008-07-03 19:57:24+00:00,1.8,1540.0
numpy\f2py\lib\parser\expressions.py,12,5796,2899,2897,12,2006-10-20 06:43:31+00:00,2006-10-31 13:28:31+00:00,0.0,11592.0
scipy\base\twodim_base.py,12,264,125,139,12,2005-09-19 23:41:29+00:00,2005-12-28 03:17:55+00:00,0.3,528.0
numpy\core\src\multiarray\number.h,12,81,66,15,12,2009-04-30 08:44:16+00:00,2017-05-12 19:23:57+00:00,8.0,10.1
weave\converters.py,12,266,133,133,12,2002-02-14 21:22:22+00:00,2005-09-26 19:01:50+00:00,3.6,73.9
numpy\core\src\ucsnarrow.c,12,519,211,308,12,2006-02-09 02:08:49+00:00,2009-04-30 08:36:00+00:00,3.2,162.2
scipy_base\testing.py,12,956,478,478,12,2002-04-01 13:57:48+00:00,2002-09-20 23:11:41+00:00,0.5,1912.0
numpy\core\src\multiarray\na_singleton.c,12,907,829,78,12,2011-07-21 20:50:38+00:00,2011-08-20 02:53:18+00:00,0.1,1814.0
numpy\core\src\multiarray\numpymemoryview.c,12,654,327,327,12,2010-02-20 18:09:45+00:00,2016-12-08 11:07:56+00:00,6.8,96.2
numpy\f2py\tests\test_return_integer.py,12,306,243,63,12,2010-03-06 19:10:14+00:00,2017-08-06 15:33:40+00:00,7.4,41.4
numpy\f2py\tests\test_return_complex.py,12,324,247,77,12,2010-03-06 19:10:14+00:00,2017-08-06 15:33:40+00:00,7.4,43.8
numpy\f2py\doc\collectinput.py,11,202,28,174,11,2006-01-20 21:59:32+00:00,2013-08-18 17:51:25+00:00,7.6,26.6
numpy\testing\setup.py,11,69,21,48,11,2006-01-04 19:00:27+00:00,2017-07-04 19:47:45+00:00,11.5,6.0
weave\scalar_spec.py,11,396,198,198,11,2002-01-03 19:50:46+00:00,2002-09-12 07:28:20+00:00,0.7,565.7
doc\sphinxext\docscrape_sphinx.py,11,282,255,27,11,2008-11-30 14:44:38+00:00,2013-02-28 01:34:50+00:00,4.2,67.1
scipy_test\setup_scipy_test.py,11,170,85,85,11,2001-12-25 06:03:41+00:00,2004-02-01 11:36:10+00:00,2.1,81.0
numpy\core\src\multiarray\scalartypes.h,11,92,67,25,11,2009-04-30 08:45:58+00:00,2015-10-08 20:26:48+00:00,6.4,14.4
scipy_test\scipy_test_version.py,11,101,62,39,11,2002-09-30 14:37:55+00:00,2005-01-29 18:24:01+00:00,2.3,43.9
numpy\core\src\npymath\halffloat.c,11,658,599,59,11,2010-11-10 00:02:27+00:00,2016-02-15 17:40:07+00:00,5.3,124.2
numpy\doc\swig\series.h,11,414,187,227,11,2006-03-14 07:53:59+00:00,2007-04-04 19:57:37+00:00,1.1,376.4
scipy_base\shape_base.py,11,1243,625,618,11,2002-04-02 23:13:09+00:00,2004-12-03 22:41:55+00:00,2.7,460.4
weave\size_check.py,11,620,307,313,11,2002-01-03 19:50:46+00:00,2005-09-26 19:01:50+00:00,3.7,167.6
numpy\doc\creation.py,11,103,58,45,11,2008-10-28 00:13:44+00:00,2017-08-01 20:29:36+00:00,8.8,11.7
weave\blitz_spec.py,11,524,262,262,11,2002-01-03 19:50:46+00:00,2005-09-26 19:01:50+00:00,3.7,141.6
numpy\oldnumeric\precision.py,11,579,205,374,11,2006-08-05 01:20:56+00:00,2013-08-19 00:40:28+00:00,7.0,82.7
numpy\f2py\lib\parser\Fortran2003.py,11,19458,6786,12672,11,2006-10-27 06:26:54+00:00,2008-07-03 19:57:24+00:00,1.7,11445.9
numpy\f2py\lib\parser\test_expressions.py,11,2386,1193,1193,11,2006-10-20 06:43:31+00:00,2006-11-03 21:57:11+00:00,0.0,4772.0
numpy\oldnumeric\rng.py,11,335,32,303,11,2006-08-04 23:32:12+00:00,2013-08-19 00:40:28+00:00,7.0,47.9
numpy\core\include\numpy\numpyconfig.h,11,62,51,11,11,2009-11-27 18:59:55+00:00,2017-05-10 17:01:08+00:00,7.4,8.4
scipy\test\testing.py,11,912,57,855,11,2005-09-26 20:18:56+00:00,2005-12-26 07:49:25+00:00,0.2,1824.0
numpy\core\include\numpy\npy_deprecated_api.h,11,184,171,13,11,2011-06-30 20:22:59+00:00,2013-07-16 22:31:42+00:00,2.0,92.0
scipy_distutils\from_template.py,11,676,469,207,11,2004-04-27 07:40:41+00:00,2004-11-21 10:08:46+00:00,0.6,1126.7
scipy_base\scipy_base_version.py,11,99,61,38,11,2002-09-30 14:37:55+00:00,2005-01-29 18:24:01+00:00,2.3,43.0
numpy\lib\machar.py,11,450,117,333,11,2006-01-04 19:30:36+00:00,2008-08-05 09:20:07+00:00,2.6,173.1
numpy\oldnumeric\typeconv.py,11,272,106,166,11,2006-08-05 01:20:56+00:00,2013-08-19 00:40:28+00:00,7.0,38.9
doc\sphinxext\numpydoc\tests\test_docscrape.py,11,997,189,808,11,2012-09-25 17:41:25+00:00,2013-07-24 16:10:16+00:00,0.8,1246.2
numpy\f2py\lib\typedecl_statements.py,11,1131,642,489,11,2006-06-22 10:25:57+00:00,2006-09-30 21:02:52+00:00,0.3,2262.0
scipy\base\index_tricks.py,11,187,131,56,11,2005-09-19 23:41:29+00:00,2005-12-30 03:26:33+00:00,0.3,374.0
scipy_distutils\command\sdist.py,11,224,189,35,11,2001-12-18 15:45:10+00:00,2004-05-03 07:32:19+00:00,2.4,93.3
numpy\f2py\lib\statements.py,11,4628,2321,2307,11,2006-06-22 10:25:57+00:00,2006-09-16 05:56:18+00:00,0.2,9256.0
weave\setup.py,11,127,62,65,11,2002-01-03 19:50:46+00:00,2005-09-26 19:01:50+00:00,3.7,34.3
weave\common_spec.py,11,192,96,96,11,2002-01-03 19:50:46+00:00,2002-09-12 07:28:20+00:00,0.7,274.3
numpy\f2py\lib\block_statements.py,11,2545,1401,1144,11,2006-06-22 10:25:57+00:00,2006-09-30 21:02:52+00:00,0.3,5090.0
numpy\core\src\umath\ufunc_object.h,11,190,101,89,11,2011-05-27 20:40:22+00:00,2017-07-02 21:37:36+00:00,6.1,31.1
scipy_distutils\scipy_distutils_version.py,11,88,61,27,11,2002-09-30 14:37:55+00:00,2005-01-29 18:24:01+00:00,2.3,38.3
numpy\f2py\lib\py_wrap.py,10,1024,448,576,10,2006-10-04 09:49:54+00:00,2008-07-03 19:57:24+00:00,1.7,602.4
numpy\f2py\lib\wrapper_base.py,10,556,189,367,10,2006-09-30 21:02:52+00:00,2008-07-03 19:57:24+00:00,1.8,308.9
benchmarks\sorting.py,10,214,79,135,10,2005-12-31 04:07:26+00:00,2013-03-01 01:46:35+00:00,7.2,29.7
numpy\core\machar.py,10,133,80,53,10,2009-10-02 19:36:37+00:00,2017-05-09 09:16:14+00:00,7.6,17.5
numpy\random\info.py,10,212,92,120,10,2006-01-04 21:05:36+00:00,2015-11-02 16:44:55+00:00,9.8,21.6
numpy\fft\__init__.py,10,105,49,56,10,2007-12-15 18:54:52+00:00,2017-07-04 19:47:45+00:00,9.6,10.9
numpy\lib\tests\test_getlimits.py,10,133,58,75,10,2006-01-04 19:00:27+00:00,2009-01-14 07:56:10+00:00,3.0,44.3
numpy\lib\mlab.py,10,72,20,52,10,2006-01-04 19:00:27+00:00,2006-08-04 23:32:12+00:00,0.6,120.0
numpy\core\tests\test_longdouble.py,10,446,329,117,10,2015-08-12 15:46:14+00:00,2017-08-06 15:33:40+00:00,2.0,223.0
weave\sequence_spec.py,10,220,110,110,10,2002-01-03 19:50:46+00:00,2002-09-12 07:28:20+00:00,0.7,314.3
weave\weave_version.py,10,99,61,38,10,2003-03-08 17:35:11+00:00,2005-01-29 18:24:01+00:00,1.9,52.1
scipy_distutils\dist.py,10,216,135,81,10,2001-12-18 15:45:10+00:00,2004-02-01 22:07:53+00:00,2.1,102.9
tools\win32build\prepare_bootstrap.py,10,254,127,127,10,2008-07-28 02:21:17+00:00,2017-02-25 22:15:35+00:00,8.6,29.5
weave\accelerate_tools.py,10,968,484,484,10,2002-02-19 04:46:38+00:00,2005-09-26 19:01:50+00:00,3.6,268.9
numpy\core\src\multiarray\reduction.h,10,532,301,231,10,2011-08-17 17:25:40+00:00,2012-05-11 13:31:50+00:00,0.7,760.0
scipy\stats\__init__.py,10,359,186,173,10,2005-09-14 23:58:12+00:00,2005-10-07 05:02:43+00:00,0.1,718.0
doc\sphinxext\setup.py,10,106,53,53,10,2009-04-01 21:57:08+00:00,2013-07-24 16:10:16+00:00,4.3,24.7
weave\conversion_code.py,10,1340,670,670,10,2002-01-13 22:04:09+00:00,2002-09-12 06:54:21+00:00,0.7,1914.3
weave\common_info.py,10,616,308,308,10,2002-01-03 19:50:46+00:00,2004-02-01 11:36:10+00:00,2.1,293.3
io.py,10,590,475,115,10,2007-12-15 18:56:40+00:00,2007-12-30 03:19:20+00:00,0.0,1180.0
doc\summarize.py,10,81,43,38,10,2008-12-13 21:02:05+00:00,2016-09-05 20:24:34+00:00,7.7,10.5
numpy\ma\__init__.py,10,80,57,23,10,2008-06-17 00:23:20+00:00,2017-07-04 19:47:45+00:00,9.0,8.9
numpy\oldnumeric\fix_default_axis.py,10,907,308,599,10,2006-08-29 18:29:53+00:00,2013-08-19 00:40:28+00:00,7.0,129.6
numpy\f2py\lib\parser\test_Fortran2003.py,10,7269,2584,4685,10,2006-11-01 10:09:49+00:00,2008-07-03 19:57:24+00:00,1.7,4275.9
scipy\base\tests\test_matrix.py,10,179,148,31,10,2005-10-12 02:51:09+00:00,2005-12-26 07:49:25+00:00,0.2,358.0
doc\sphinxext\numpydoc\docscrape_sphinx.py,10,358,65,293,10,2013-02-16 13:44:01+00:00,2013-07-24 16:10:16+00:00,0.4,716.0
numpy\build_utils\__init__.py,10,860,391,469,10,2011-03-07 11:19:59+00:00,2013-04-06 19:25:26+00:00,2.1,409.5
numpy\setupscons.py,10,100,50,50,10,2008-01-06 10:49:23+00:00,2013-01-13 17:04:44+00:00,5.0,20.0
numpy\core\src\multiarray\na_mask.h,10,166,83,83,10,2011-07-25 23:33:53+00:00,2012-05-11 13:31:50+00:00,0.8,207.5
numpy\distutils\environment.py,10,160,81,79,10,2007-05-25 11:41:16+00:00,2013-04-06 19:25:26+00:00,5.9,27.1
weave\standard_array_info.py,9,456,228,228,9,2002-01-03 19:50:46+00:00,2002-09-12 06:54:21+00:00,0.7,651.4
benchmarks\simpleindex.py,9,218,67,151,9,2006-06-28 19:12:46+00:00,2013-03-01 01:46:35+00:00,6.7,32.5
numpy\doc\__init__.py,9,50,39,11,9,2008-07-09 08:13:18+00:00,2013-04-27 03:31:12+00:00,4.8,10.4
weave\tests\test_inline_tools.py,9,158,79,79,9,2002-01-14 07:10:54+00:00,2005-09-08 13:25:08+00:00,3.6,43.9
scipy_test\scipy_test.py,9,754,377,377,9,2001-12-25 06:03:41+00:00,2002-04-07 15:14:07+00:00,0.3,1508.0
numpy\f2py\lib\extgen\c_type.py,9,2108,1054,1054,9,2007-08-03 19:44:53+00:00,2007-08-10 15:30:24+00:00,0.0,4216.0
weave\blitz_info.py,9,494,247,247,9,2002-01-03 19:50:46+00:00,2002-09-12 06:54:21+00:00,0.7,705.7
numpy\f2py\lib\base_classes.py,9,1464,789,675,9,2006-06-22 10:25:57+00:00,2006-09-17 18:00:33+00:00,0.2,2928.0
numpy\doc\swig\testSeries.py,9,2219,1658,561,9,2006-03-14 07:53:59+00:00,2007-04-01 02:31:40+00:00,1.0,2219.0
numpy\core\src\multiarray\na_object.c,9,917,83,834,9,2011-08-24 20:07:53+00:00,2012-05-11 13:31:50+00:00,0.7,1310.0
numpy\core\src\multiarray\testcalcs.py,9,166,83,83,9,2009-08-26 23:01:41+00:00,2014-09-15 14:51:27+00:00,5.1,32.5
setupegg.py,9,71,29,42,9,2006-06-28 19:05:48+00:00,2015-12-29 10:32:06+00:00,9.5,7.5
numpy\oldnumeric\ufuncs.py,9,83,32,51,9,2006-08-05 01:20:56+00:00,2013-08-19 00:40:28+00:00,7.0,11.9
numpy\distutils\tests\gen_ext\setup.py,9,150,28,122,9,2006-01-04 19:00:27+00:00,2016-01-06 19:33:18+00:00,10.0,15.0
numpy\core\info.py,9,354,30,324,9,2006-01-04 21:05:36+00:00,2016-01-27 23:42:42+00:00,10.1,35.0
scipy\base\code_generators\generate_umath.py,9,216,127,89,9,2005-09-16 00:34:24+00:00,2005-10-31 14:15:27+00:00,0.1,432.0
doc\sphinxext\autosummary.py,9,726,364,362,9,2008-11-30 14:44:38+00:00,2010-10-01 13:21:15+00:00,1.8,403.3
numpy\core\include\numpy\npy_interrupt.h,9,434,217,217,9,2006-08-21 19:03:29+00:00,2012-02-05 19:55:20+00:00,5.5,78.9
weave\tests\test_ast_tools.py,9,146,71,75,9,2002-01-03 19:50:46+00:00,2005-09-08 13:25:08+00:00,3.7,39.5
numpy\core\tests\test_indexerrors.py,9,230,178,52,9,2012-05-11 13:31:50+00:00,2017-07-17 20:36:24+00:00,5.2,44.2
numpy\core\src\multiarray\conversion_utils.h,9,96,82,14,9,2009-05-05 11:08:48+00:00,2015-10-08 20:26:48+00:00,6.4,15.0
numpy\f2py\tests\test_kind.py,9,86,61,25,9,2011-02-27 15:06:26+00:00,2017-08-06 15:33:40+00:00,6.4,13.4
weave\tests\test_scxx.py,9,1586,793,793,9,2002-09-28 08:55:55+00:00,2004-02-01 11:36:10+00:00,1.3,1220.0
numpy\distutils\lib2def.py,9,151,19,132,9,2006-03-10 21:31:27+00:00,2015-02-06 08:20:13+00:00,8.9,17.0
doc\sphinxext\numpydoc\docscrape.py,9,582,36,546,9,2013-02-16 13:44:01+00:00,2013-07-24 16:10:16+00:00,0.4,1164.0
numpy\core\tests\test_machar.py,9,45,25,20,9,2009-09-16 07:14:48+00:00,2017-07-17 20:36:24+00:00,7.8,5.8
numpy\core\src\multiarray\descriptor.h,9,71,53,18,9,2009-04-30 08:45:33+00:00,2015-10-08 20:26:48+00:00,6.4,11.1
numpy\f2py\lib\parser\statements.py,9,4030,173,3857,9,2006-10-01 11:49:23+00:00,2008-07-03 19:57:24+00:00,1.8,2238.9
weave\examples\cast_copy_transpose.py,9,476,238,238,9,2002-01-03 19:50:46+00:00,2005-09-08 13:25:08+00:00,3.7,128.6
tools\win32build\doall.py,9,128,70,58,9,2008-07-28 04:39:13+00:00,2017-02-25 22:15:35+00:00,8.6,14.9
weave\ast_tools.py,9,902,451,451,9,2002-01-03 19:50:46+00:00,2004-02-01 11:36:10+00:00,2.1,429.5
numpy\oldnumeric\setup.py,9,46,15,31,9,2006-06-12 23:13:30+00:00,2013-08-19 00:40:28+00:00,7.2,6.4
scipy_base\tests\test_type_check.py,9,616,334,282,9,2002-04-03 13:59:07+00:00,2004-12-03 22:41:55+00:00,2.7,228.1
numpy\distutils\fcompiler\none.py,9,79,28,51,9,2006-01-04 19:00:27+00:00,2013-08-18 17:51:25+00:00,7.6,10.4
numpy\distutils\fcompiler\lahey.py,9,74,15,59,9,2006-01-04 19:00:27+00:00,2013-08-18 17:51:25+00:00,7.6,9.7
scipy_distutils\extension.py,9,137,122,15,9,2002-01-09 06:45:56+00:00,2005-03-24 09:17:48+00:00,3.2,42.8
numpy\random\mtrand\generate_mtrand_c.py,9,95,12,83,9,2006-07-06 16:57:20+00:00,2013-04-06 19:25:26+00:00,6.8,14.0
benchmarks\benchmarks\bench_core.py,9,264,219,45,9,2015-08-22 00:29:21+00:00,2017-08-01 20:29:36+00:00,1.9,138.9
numpy\polynomial\tests\test_polyutils.py,9,172,141,31,9,2009-11-14 22:30:39+00:00,2017-07-18 01:25:17+00:00,7.7,22.3
scipy\base\getlimits.py,9,190,119,71,9,2005-09-23 23:33:29+00:00,2005-12-30 01:59:33+00:00,0.3,380.0
weave\tests\test_c_spec.py,9,1928,964,964,9,2002-09-12 07:06:11+00:00,2004-02-01 11:36:10+00:00,1.4,1377.1
numpy\distutils\command\egg_info.py,9,48,33,15,9,2006-01-31 23:20:47+00:00,2017-03-09 02:16:36+00:00,11.1,4.3
numpy\distutils\fcompiler\mips.py,9,84,15,69,9,2006-01-04 19:00:27+00:00,2013-08-18 17:51:25+00:00,7.6,11.1
numpy\dft\__init__.py,8,72,25,47,8,2006-01-04 19:00:27+00:00,2006-09-20 00:10:42+00:00,0.7,102.9
numpy\distutils\tests\pyrex_ext\setup.py,8,46,17,29,8,2006-02-06 10:29:49+00:00,2016-01-06 19:31:02+00:00,9.9,4.6
numpy\distutils\tests\f2py_ext\setup.py,8,59,18,41,8,2006-01-04 19:00:27+00:00,2016-01-06 19:33:18+00:00,10.0,5.9
numpy\distutils\tests\f2py_f90_ext\setup.py,8,74,21,53,8,2006-01-04 19:00:27+00:00,2016-01-06 19:33:18+00:00,10.0,7.4
numpy\core\src\umath\ufunc_type_resolution.h,8,354,248,106,8,2011-06-27 22:59:34+00:00,2017-07-27 02:02:30+00:00,6.1,58.0
numpy\core\src\multiarray\temp_elide.c,8,426,411,15,8,2016-08-30 18:58:29+00:00,2017-09-22 17:35:52+00:00,1.1,387.3
numpy\core\src\numpyos.c,8,517,336,181,8,2009-01-12 21:22:51+00:00,2009-04-30 08:34:41+00:00,0.3,1034.0
numpy\core\src\npymath\ieee754.c,8,357,299,58,8,2009-10-30 10:24:54+00:00,2009-11-10 09:33:23+00:00,0.0,714.0
scipy\distutils\system_info.py,8,246,198,48,8,2005-09-16 04:48:54+00:00,2005-12-16 10:20:34+00:00,0.2,492.0
numpy\testing\print_coercion_tables.py,8,167,129,38,8,2010-11-29 01:00:36+00:00,2015-07-05 15:38:47+00:00,4.6,36.3
numpy\distutils\command\__init__.py,8,57,19,38,8,2006-03-10 21:31:27+00:00,2013-08-18 17:51:25+00:00,7.4,7.7
numpy\distutils\command\bdist_rpm.py,8,41,13,28,8,2006-02-02 03:28:25+00:00,2013-08-18 17:51:25+00:00,7.5,5.5
weave\tests\test_scalar_spec.py,8,812,406,406,8,2002-01-03 19:50:46+00:00,2002-09-12 07:06:11+00:00,0.7,1160.0
doc\example.py,8,36,17,19,8,2009-07-01 20:19:18+00:00,2016-05-02 14:54:48+00:00,6.8,5.3
scipy\base\tests\test_records.py,8,76,60,16,8,2005-12-13 21:46:27+00:00,2005-12-29 16:00:17+00:00,0.0,152.0
numpy\core\code_generators\docstrings.py,8,3020,2869,151,8,2008-06-08 12:18:37+00:00,2008-11-28 05:34:33+00:00,0.5,6040.0
numpy\core\src\multiarray\arraytypes.h,8,53,44,9,8,2009-04-30 08:45:33+00:00,2015-10-08 20:26:48+00:00,6.4,8.3
weave\examples\vq.py,8,578,289,289,8,2002-01-03 19:50:46+00:00,2005-09-08 13:25:08+00:00,3.7,156.2
numpy\core\src\_signbit.c,8,102,19,83,8,2006-07-06 16:57:20+00:00,2009-02-19 10:55:31+00:00,2.6,39.2
weave\tests\weave_test_utils.py,8,341,121,220,8,2002-01-07 06:08:25+00:00,2004-02-01 11:36:10+00:00,2.1,162.4
scipy_distutils\command\build_py.py,8,113,63,50,8,2001-12-25 06:05:32+00:00,2004-02-01 22:07:53+00:00,2.1,53.8
numpy\fft\setup.py,8,30,5,25,8,2006-08-04 23:32:12+00:00,2014-07-31 23:39:17+00:00,8.0,3.8
numpy\tests\test_matlib.py,8,83,69,14,8,2010-07-31 11:49:25+00:00,2017-08-01 20:29:36+00:00,7.0,11.9
doc\postprocess.py,8,22,13,9,8,2009-04-01 20:38:50+00:00,2013-08-18 17:16:06+00:00,4.4,5.0
weave\cxx_info.py,8,342,171,171,8,2002-01-03 19:50:46+00:00,2002-09-12 06:54:21+00:00,0.7,488.6
numpy\f2py\lib\tests\test_module_module.py,8,193,68,125,8,2007-05-18 16:44:43+00:00,2008-07-03 19:57:24+00:00,1.1,175.5
numpy\f2py\lib\python_wrapper.py,8,2000,1000,1000,8,2006-09-16 05:56:18+00:00,2006-10-07 08:49:08+00:00,0.1,4000.0
numpy\f2py\lib\splitline.py,8,904,452,452,8,2006-05-24 07:39:50+00:00,2006-07-06 16:57:20+00:00,0.1,1808.0
tools\c_coverage\c_coverage_report.py,8,207,195,12,8,2009-10-27 11:20:29+00:00,2017-02-25 14:29:45+00:00,7.3,28.4
numpy\oldnumeric\linear_algebra.py,8,201,17,184,8,2006-08-04 23:32:12+00:00,2013-08-19 00:40:28+00:00,7.0,28.7
scipy\base\tests\test_function_base.py,8,162,128,34,8,2005-09-29 10:08:32+00:00,2005-12-30 22:45:35+00:00,0.3,324.0
numpy\distutils\tests\swig_ext\setup.py,8,82,25,57,8,2006-01-04 19:00:27+00:00,2016-01-06 19:33:18+00:00,10.0,8.2
numpy\distutils\tests\setup.py,8,52,19,33,8,2006-02-06 12:09:15+00:00,2016-01-06 19:33:18+00:00,9.9,5.3
numpy\core\code_generators\cversions.py,8,58,29,29,8,2009-04-29 08:20:33+00:00,2014-05-04 22:24:17+00:00,5.0,11.6
numpy\f2py\lib\extgen\pyc_function.py,8,644,322,322,8,2007-08-03 19:44:53+00:00,2007-08-10 15:30:24+00:00,0.0,1288.0
numpy\matrixlib\tests\test_multiarray.py,8,31,19,12,8,2011-04-06 03:00:10+00:00,2017-07-17 16:38:35+00:00,6.3,4.9
numpy\random\mtrand\initarray.c,8,610,178,432,8,2006-06-24 20:55:00+00:00,2012-04-02 04:33:19+00:00,5.8,105.2
numpy\numarray\ufuncs.py,8,102,40,62,8,2006-08-08 07:49:10+00:00,2013-08-19 00:40:28+00:00,7.0,14.6
numpy\polynomial\tests\test_printing.py,8,178,126,52,8,2011-07-15 20:01:36+00:00,2017-08-10 16:17:07+00:00,6.1,29.2
numpy\numarray\image.py,8,54,20,34,8,2006-08-05 20:24:55+00:00,2013-08-19 00:40:28+00:00,7.0,7.7
numpy\matrixlib\tests\test_numeric.py,8,43,29,14,8,2013-02-27 20:26:58+00:00,2017-07-17 16:38:35+00:00,4.4,9.8
numpy\core\include\numpy\oldnumeric.h,8,66,34,32,8,2006-07-08 00:28:33+00:00,2016-09-12 20:16:53+00:00,10.2,6.5
numpy\core\tests\test_iterator.py,8,296,180,116,8,2011-03-14 06:58:35+00:00,2011-06-29 03:40:06+00:00,0.3,592.0
numpy\distutils\command\install_clib.py,8,63,51,12,8,2009-07-26 11:03:58+00:00,2013-04-06 19:25:26+00:00,3.7,17.0
numpy\distutils\command\install_headers.py,8,40,8,32,8,2006-01-04 19:00:27+00:00,2013-08-18 17:51:25+00:00,7.6,5.3
numpy\distutils\command\sdist.py,8,50,13,37,8,2006-01-04 19:00:27+00:00,2013-08-18 17:51:25+00:00,7.6,6.6
numpy\lib\tests\test_arrayterator.py,8,72,62,10,8,2008-08-13 00:04:08+00:00,2013-04-06 19:25:26+00:00,4.6,15.7
numpy\core\tests\test_multiarray_assignment.py,8,180,90,90,8,2012-06-30 08:17:30+00:00,2015-08-11 21:01:36+00:00,3.1,58.1
numpy\distutils\command\build_scripts.py,8,80,19,61,8,2006-01-04 19:00:27+00:00,2013-04-06 19:25:26+00:00,7.3,11.0
numpy\f2py\lib\generate_pyobj_tofrom_funcs.py,7,374,187,187,7,2006-09-30 21:02:52+00:00,2006-10-08 06:37:50+00:00,0.0,748.0
scipy_base\info_scipy_base.py,7,268,136,132,7,2003-10-22 18:31:44+00:00,2004-12-03 22:41:55+00:00,1.1,243.6
numpy\doc\ufuncs.py,7,63,33,30,7,2009-12-28 20:49:52+00:00,2016-09-06 12:42:08+00:00,6.7,9.4
numpy\f2py\__version__.py,7,32,8,24,7,2006-07-06 16:57:20+00:00,2013-04-06 19:25:26+00:00,6.8,4.7
numpy\doc\pyrex\c_numpy.pxd,7,514,204,310,7,2006-03-13 07:07:30+00:00,2007-12-15 18:54:52+00:00,1.8,285.6
numpy\f2py\lib\tests\test_scalar_in_out.py,7,1127,25,1102,7,2007-05-18 16:44:43+00:00,2008-07-03 19:57:24+00:00,1.1,1024.5
numpy\numarray\linear_algebra.py,7,53,19,34,7,2006-08-10 22:45:29+00:00,2013-08-19 00:40:28+00:00,7.0,7.6
numpy\f2py\lib\tests\test_scalar_function_in.py,7,1136,27,1109,7,2007-05-18 16:44:43+00:00,2008-07-03 19:57:24+00:00,1.1,1032.7
doc\sphinxext\numpydoc\numpydoc.py,7,258,44,214,7,2012-08-10 12:25:48+00:00,2013-07-24 16:10:16+00:00,1.0,258.0
scipy\basic\__init__.py,7,29,20,9,7,2005-10-07 20:19:55+00:00,2005-12-16 13:06:13+00:00,0.2,58.0
numpy\f2py\docs\usersguide\setup_example.py,7,52,8,44,7,2006-01-04 19:00:27+00:00,2013-08-18 17:51:25+00:00,7.6,6.8
scipy_distutils\command\build.py,7,98,88,10,7,2001-12-18 15:45:10+00:00,2004-02-01 22:07:53+00:00,2.1,46.7
